#,A,minimal,,,,,,,,,,,,,,
S2,A0abs,A1abs,A2abs,A3abs,NOCI0abs,NOCI1abs,NOCI2abs,NOCI3abs,A0shifted,A1shifted,A2shifted,A3shifted,NOCI0shifted,NOCI1shifted,NOCI2shifted,NOCI3shifted
-0.050,-1539.338552,-1539.338552,-1539.338552,-1539.338552,-1539.342693,-1539.335604,-1539.335604,-1538.320690,-33.8552,-33.8552,-33.8552,-33.8552,-34.2693,-33.5604,-33.5604,67.9310
-0.045,-1539.339266,-1539.339266,-1539.339266,-1539.339266,-1539.343251,-1539.336868,-1539.336868,-1538.321572,-33.9266,-33.9266,-33.9266,-33.9266,-34.3251,-33.6868,-33.6868,67.8428
-0.040,-1539.339910,-1539.339910,-1539.339910,-1539.339910,-1539.343710,-1539.338035,-1539.338035,-1538.322351,-33.9910,-33.9910,-33.9910,-33.9910,-34.3710,-33.8035,-33.8035,67.7649
-0.035,-1539.340485,-1539.340485,-1539.340485,-1539.340485,-1539.344068,-1539.339103,-1539.339103,-1538.323028,-34.0485,-34.0485,-34.0485,-34.0485,-34.4068,-33.9103,-33.9103,67.6972
-0.030,-1539.340989,-1539.340989,-1539.340989,-1539.340989,-1539.344325,-1539.340070,-1539.340070,-1538.323605,-34.0989,-34.0989,-34.0989,-34.0989,-34.4325,-34.0070,-34.0070,67.6395
-0.025,-1539.341419,-1539.341419,-1539.341419,-1539.341419,-1539.344477,-1539.340934,-1539.340934,-1538.324086,-34.1419,-34.1419,-34.1419,-34.1419,-34.4477,-34.0934,-34.0934,67.5914
-0.020,-1539.341776,-1539.341776,-1539.341776,-1539.341776,-1539.344523,-1539.341691,-1539.341691,-1538.324473,-34.1776,-34.1776,-34.1776,-34.1776,-34.4523,-34.1691,-34.1691,67.5527
-0.015,-1539.342058,-1539.342058,-1539.342058,-1539.342058,-1539.344460,-1539.342339,-1539.342339,-1538.324769,-34.2058,-34.2058,-34.2058,-34.2058,-34.4460,-34.2339,-34.2339,67.5231
-0.010,-1539.342261,-1539.342261,-1539.342261,-1539.342261,-1539.344285,-1539.342874,-1539.342874,-1538.324977,-34.2261,-34.2261,-34.2261,-34.2261,-34.4285,-34.2874,-34.2874,67.5023
-0.005,-1539.342385,-1539.342385,-1539.342385,-1539.342385,-1539.343995,-1539.343292,-1539.343292,-1538.325099,-34.2385,-34.2385,-34.2385,-34.2385,-34.3995,-34.3292,-34.3292,67.4901
0.000,-1539.342427,-1539.342427,-1539.342427,-1539.342427,-1539.343588,-1539.343588,-1539.343588,-1538.325139,-34.2427,-34.2427,-34.2427,-34.2427,-34.3588,-34.3588,-34.3588,67.4861
0.005,-1539.342384,-1539.342384,-1539.342384,-1539.342384,-1539.343758,-1539.343758,-1539.343059,-1538.325100,-34.2384,-34.2384,-34.2384,-34.2384,-34.3758,-34.3758,-34.3059,67.4900
0.010,-1539.342254,-1539.342254,-1539.342254,-1539.342254,-1539.343796,-1539.343796,-1539.342405,-1538.324985,-34.2254,-34.2254,-34.2254,-34.2254,-34.3796,-34.3796,-34.2405,67.5015
0.015,-1539.342034,-1539.342034,-1539.342034,-1539.342034,-1539.343695,-1539.343695,-1539.341621,-1538.324799,-34.2034,-34.2034,-34.2034,-34.2034,-34.3695,-34.3695,-34.1621,67.5201
0.020,-1539.341721,-1539.341721,-1539.341721,-1539.341721,-1539.343451,-1539.343451,-1539.340702,-1538.324543,-34.1721,-34.1721,-34.1721,-34.1721,-34.3451,-34.3451,-34.0702,67.5457
0.025,-1539.341310,-1539.341310,-1539.341310,-1539.341310,-1539.343055,-1539.343055,-1539.339645,-1538.324224,-34.1310,-34.1310,-34.1310,-34.1310,-34.3055,-34.3055,-33.9645,67.5776
0.030,-1539.340799,-1539.340799,-1539.340799,-1539.340799,-1539.342500,-1539.342500,-1539.338444,-1538.323845,-34.0799,-34.0799,-34.0799,-34.0799,-34.2500,-34.2500,-33.8444,67.6155
0.035,-1539.340184,-1539.340184,-1539.340184,-1539.340184,-1539.341778,-1539.341778,-1539.337094,-1538.323412,-34.0184,-34.0184,-34.0184,-34.0184,-34.1778,-34.1778,-33.7094,67.6588
0.040,-1539.339460,-1539.339460,-1539.339460,-1539.339460,-1539.340880,-1539.340880,-1539.335588,-1538.322931,-33.9460,-33.9460,-33.9460,-33.9460,-34.0880,-34.0880,-33.5588,67.7069
