#,Aadash,minimal,Egv,,,,,,,,,,,
# Symmetry,Ag+B1g+B2g+B3g,B1g+B2g,B2g+B3g,B1g+B3g,,,,,,,,,,
# Degeneracy,4,2,2,2,,,,,,,,,,
S3,Aabs,AdashB1gB2gabs,AdashB2gB3gabs,AdashB1gB3gabs,B2gabs,B1gabs,B3gabs,Ashifted,AdashB1gB2gshifted,AdashB2gB3gshifted,AdashB1gB3gshifted,B2gshifted,B1gshifted,B3gshifted
-0.040,-1539.3415213010,-1539.3401939008,-1539.3407011371,-1539.3411407787,-1539.3419717000,-1539.3433278000,-1539.3444478000,-34.1521301000,-34.0193901000,-34.0701137000,-34.1140779000,-34.1971700000,-34.3327800000,-34.4447800000
-0.035,-1539.3417342872,-1539.3404803568,-1539.3409207088,-1539.3413094017,-1539.3423762000,-1539.3435492000,-1539.3445412000,-34.1734287000,-34.0480357000,-34.0920709000,-34.1309402000,-34.2376200000,-34.3549200000,-34.4541200000
-0.030,-1539.3419184971,-1539.3407361508,-1539.3411105982,-1539.3414471512,-1539.3427468000,-1539.3437406000,-1539.3446014000,-34.1918497000,-34.0736151000,-34.1110598000,-34.1447151000,-34.2746800000,-34.3740600000,-34.4601400000
-0.025,-1539.3420740980,-1539.3409614565,-1539.3412709844,-1539.3415542315,-1539.3430837000,-1539.3439022000,-1539.3446283000,-34.2074098000,-34.0961457000,-34.1270984000,-34.1554231000,-34.3083700000,-34.3902200000,-34.4628300000
-0.020,-1539.3422012266,-1539.3411564139,-1539.3414020144,-1539.3416308135,-1539.3433871000,-1539.3440342000,-1539.3446222000,-34.2201227000,-34.1156414000,-34.1402014000,-34.1630813000,-34.3387100000,-34.4034200000,-34.4622200000
-0.015,-1539.3422999888,-1539.3413211290,-1539.3415038025,-1539.3416770332,-1539.3436571000,-1539.3441368000,-1539.3445832000,-34.2299989000,-34.1321129000,-34.1503803000,-34.1677033000,-34.3657100000,-34.4136800000,-34.4583200000
-0.010,-1539.3423704723,-1539.3414556859,-1539.3415764427,-1539.3416930051,-1539.3438940000,-1539.3442100000,-1539.3445112000,-34.2370472000,-34.1455686000,-34.1576443000,-34.1693005000,-34.3894000000,-34.4210000000,-34.4511200000
-0.005,-1539.3424127381,-1539.3415601392,-1539.3416200006,-1539.3416788137,-1539.3440977000,-1539.3442538000,-1539.3444063000,-34.2412738000,-34.1560139000,-34.1620001000,-34.1678814000,-34.4097700000,-34.4253800000,-34.4406300000
0.000,-1539.3424268224,-1539.3416345154,-1539.3416345154,-1539.3416345154,-1539.3442685000,-1539.3442685000,-1539.3442685000,-34.2426822000,-34.1634515000,-34.1634515000,-34.1634515000,-34.4268500000,-34.4268500000,-34.4268500000
0.005,-1539.3424127381,-1539.3416788137,-1539.3416200006,-1539.3415601392,-1539.3444063000,-1539.3442538000,-1539.3440977000,-34.2412738000,-34.1678814000,-34.1620001000,-34.1560139000,-34.4406300000,-34.4253800000,-34.4097700000
0.010,-1539.3423704723,-1539.3416930051,-1539.3415764427,-1539.3414556859,-1539.3445112000,-1539.3442100000,-1539.3438940000,-34.2370472000,-34.1693005000,-34.1576443000,-34.1455686000,-34.4511200000,-34.4210000000,-34.3894000000
0.015,-1539.3422999888,-1539.3416770332,-1539.3415038025,-1539.3413211290,-1539.3445832000,-1539.3441368000,-1539.3436571000,-34.2299989000,-34.1677033000,-34.1503803000,-34.1321129000,-34.4583200000,-34.4136800000,-34.3657100000
0.020,-1539.3422012266,-1539.3416308135,-1539.3414020144,-1539.3411564139,-1539.3446222000,-1539.3440342000,-1539.3433871000,-34.2201227000,-34.1630813000,-34.1402014000,-34.1156414000,-34.4622200000,-34.4034200000,-34.3387100000
0.025,-1539.3420740980,-1539.3415542315,-1539.3412709844,-1539.3409614565,-1539.3446283000,-1539.3439022000,-1539.3430837000,-34.2074098000,-34.1554231000,-34.1270984000,-34.0961457000,-34.4628300000,-34.3902200000,-34.3083700000
0.030,-1539.3419184971,-1539.3414471512,-1539.3411105982,-1539.3407361508,-1539.3446014000,-1539.3437406000,-1539.3427468000,-34.1918497000,-34.1447151000,-34.1110598000,-34.0736151000,-34.4601400000,-34.3740600000,-34.2746800000
0.035,-1539.3417342872,-1539.3413094018,-1539.3409207089,-1539.3404803568,-1539.3445412000,-1539.3435492000,-1539.3423762000,-34.1734287000,-34.1309402000,-34.0920709000,-34.0480357000,-34.4541200000,-34.3549200000,-34.2376200000
0.040,-1539.3415213011,-1539.3411407788,-1539.3407011371,-1539.3401939008,-1539.3444478000,-1539.3433278000,-1539.3419717000,-34.1521301000,-34.1140779000,-34.0701137000,-34.0193901000,-34.4447800000,-34.3327800000,-34.1971700000
