# [VF6]3-,MS=0,1.9896,singletNOCI
E,Eshifted,DoS,Comment
# A, Adash, Addash - 1T2g - M_S = 0
-1539.2803723,-280.3723,3,1T2gA
-1539.2791715,-279.1715,3,1T2gAdash
-1539.2751980,-275.1980,3,1T2gAddash
-1539.2803724,-280.3724,3,1T2gA+Adash
-1539.2804345,-280.4345,3,1T2gA+Addash
-1539.2792889,-279.2889,3,1T2gAdash+Addash
-1539.2804618,-280.4618,3,1T2gA+Adash+Addash
# A, B, D - 1Eg - M_S = 0
-1539.2770923,-277.0923,2,1EgA
-1539.2735656,-273.5656,2,1EgB
-1539.2742054,-274.2054,2,1EgD
-1539.2781317,-278.1317,2,1EgBD
-1539.2785202,-278.5202,2,1EgAD
-1539.2816837,-281.6837,2,1EgAB
# C - 1T2g - M_S = 0
-1539.2189019,-218.9019,3,1T2gC
# E - 1T1g - M_S = 0
-1539.2034665,-203.4665,3,1T1gE
