# [VF6]3-,MS=0,1.9896,tripletNOCI
E,Eshifted,DoS,Comment
# A, Adash, Addash - 3T1g - M_S = 0
-1539.3445628,-344.5628,3,3T1gA
-1539.3433740,-343.3740,3,3T1gAdash
-1539.3372071,-337.2071,3,3T1gAddash
-1539.3448695,-344.8695,3,3T1gA+Adash
-1539.3447589,-344.7589,3,3T1gA+Addash
-1539.3434856,-343.4856,3,3T1gAdash+Addash
-1539.3448808,-344.8808,3,3T1gA+Adash+Addash
# B, C - 3T2g - M_S = 0
-1539.2847593,-284.7593,3,3T2gB
-1539.2868717,-286.8717,3,3T2gC
-1539.2890629,-289.0629,3,3T2gB+C
# E - 3T1g - M_S = 0
-1539.2374281,-237.4281,3,3T1gE
